iter	Passed	Remaining
399	63370	95055
400	63520	94885
401	63675	94721
402	63834	94563
403	63988	94398
404	64141	94232
405	64294	94066
406	64449	93902
407	64599	93732
408	64758	93575
409	64908	93405
410	65060	93237
411	65215	93074
412	65370	92912
413	65521	92742
414	65676	92580
415	65830	92416
416	65982	92249
417	66133	92080
418	66280	91907
419	66431	91738
420	66582	91571
421	66735	91405
422	66886	91236
423	67044	91078
424	67196	90913
425	67349	90748
426	67505	90587
427	67663	90429
428	67817	90264
429	67966	90095
430	68118	89929
431	68269	89761
432	68420	89594
433	68572	89428
434	68729	89269
435	68883	89105
436	69039	88945
437	69194	88784
438	69346	88618
439	69502	88458
440	69653	88291
441	69804	88124
442	69964	87969
443	70113	87800
444	70266	87635
445	70419	87472
446	70572	87308
447	70726	87145
448	70886	86989
449	71039	86826
450	71196	86667
451	71351	86505
452	71503	86341
453	71654	86174
454	71804	86008
455	71958	85845
456	72109	85679
457	72265	85519
458	72421	85359
459	72578	85200
460	72733	85039
461	72887	84877
462	73040	84714
463	73193	84551
464	73344	84385
465	73499	84225
466	73656	84065
467	73809	83902
468	73962	83740
469	74114	83575
470	74271	83417
471	74427	83258
472	74582	83097
473	74734	82933
474	74889	82772
475	75043	82611
476	75199	82451
477	75353	82289
478	75502	82122
479	75660	81965
480	75819	81809
481	75975	81649
482	76131	81490
483	76284	81328
484	76440	81169
485	76597	81010
486	76749	80846
487	76908	80690
488	77062	80529
489	77216	80367
490	77369	80206
491	77522	80044
492	77676	79882
493	77834	79725
494	77987	79563
495	78137	79398
496	78294	79239
497	78446	79076
498	78597	78912
499	78751	78751
500	78906	78591
501	79063	78433
502	79229	78284
503	79399	78139
504	79547	77972
505	79699	77809
506	79867	77662
507	80028	77507
508	80209	77373
509	80363	77211
510	80514	77047
511	80680	76898
512	80844	76746
513	81007	76594
514	81167	76438
515	81325	76281
516	81495	76136
517	81659	75984
518	81832	75840
519	82004	75696
520	82163	75539
521	82334	75394
522	82487	75232
523	82638	75068
524	82793	74908
525	82954	74753
526	83115	74598
527	83274	74442
528	83432	74284
529	83585	74123
530	83741	73963
531	83898	73805
532	84048	73641
533	84203	73481
534	84360	73322
535	84519	73165
536	84676	73007
537	84831	72848
538	84985	72687
539	85142	72528
540	85312	72381
541	85469	72223
542	85620	72059
543	85775	71900
544	85933	71742
545	86087	71581
546	86239	71419
547	86393	71258
548	86551	71101
549	86705	70940
550	86863	70783
551	87014	70620
552	87168	70459
553	87326	70302
554	87489	70149
555	87654	69997
556	87812	69840
557	87967	69680
558	88123	69521
559	88279	69362
560	88437	69205
561	88599	69050
562	88757	68893
563	88917	68737
564	89070	68576
565	89219	68412
566	89370	68249
567	89526	68090
568	89685	67934
569	89836	67771
