iter	MultiClass
0	1.580432709
1	1.416901249
2	1.297177079
3	1.200871501
4	1.115320147
5	1.043177702
6	0.9779892265
7	0.9228831935
8	0.8721333546
9	0.8262591905
10	0.7866383622
11	0.7517963453
12	0.7195230024
13	0.6893000879
14	0.6623534689
15	0.638496712
16	0.6156102341
17	0.595504723
18	0.574652883
19	0.55748351
20	0.5412947144
21	0.5251542213
22	0.5109993407
23	0.4977883021
24	0.484760743
25	0.4719531344
26	0.4622825989
27	0.4522379483
28	0.4430793277
29	0.43251233
30	0.4237388226
31	0.416334795
32	0.4090243078
33	0.4033794811
34	0.3985382489
35	0.3911811223
36	0.3849976345
37	0.3799603474
38	0.3746376537
39	0.3690880203
40	0.3632111766
41	0.3591154844
42	0.3548824548
43	0.3517237055
44	0.3466014649
45	0.3414643619
46	0.3377051633
47	0.3325762215
48	0.3276949279
49	0.3240674509
50	0.3215835164
51	0.3182817859
52	0.3133299219
53	0.308789589
54	0.3045707175
55	0.3013639669
56	0.2987170977
57	0.2958634729
58	0.2920071024
59	0.2881135984
60	0.2853988996
61	0.2837869295
62	0.280209776
63	0.2770087751
64	0.2743147894
65	0.2720791449
66	0.2682146374
67	0.2655738839
68	0.2632413383
69	0.2606291472
70	0.2579123168
71	0.2552832815
72	0.2532696523
73	0.2519619585
74	0.2497686141
75	0.247482202
76	0.2449641302
77	0.242663684
78	0.24003054
79	0.2378264003
80	0.2358133321
81	0.23433035
82	0.2322652683
83	0.2300920557
84	0.2283694159
85	0.2258660164
86	0.2239078155
87	0.2219484073
88	0.2203976777
89	0.2186306723
90	0.2169857456
91	0.2159586549
92	0.2142020946
93	0.2120185337
94	0.2099513035
95	0.2079646687
96	0.2064642987
97	0.204844516
98	0.2030697345
99	0.2016216663
100	0.2001934025
101	0.1987323339
102	0.1969008489
103	0.1954177555
104	0.1936312478
105	0.1919819949
106	0.1901070249
107	0.1882824231
108	0.1869018391
109	0.1854838063
110	0.183969367
111	0.1827760548
112	0.1813668749
113	0.1801191223
114	0.1783612122
115	0.1772657726
116	0.1760458575
117	0.1752669247
118	0.1743012066
119	0.172494739
120	0.1714737228
121	0.1705465281
122	0.1692241559
123	0.1682688493
124	0.1669396352
125	0.1654512535
126	0.1644720306
127	0.1634753829
128	0.1624059796
129	0.161113423
130	0.1595384441
131	0.1583007138
132	0.1570233965
133	0.1560766155
134	0.1552332492
135	0.1545190957
136	0.1534579349
137	0.1526783583
138	0.1517673034
139	0.1507967132
140	0.1499055932
141	0.1490488923
142	0.1481159602
143	0.1472191157
144	0.1459884193
145	0.1450703468
146	0.1440771719
147	0.143263696
148	0.1425388604
149	0.1413797954
150	0.1406713477
151	0.1400130535
152	0.139072303
153	0.1380693303
154	0.1372196711
155	0.1367003358
156	0.1358829919
157	0.1353255634
158	0.1344457955
159	0.1335488848
160	0.1327418863
161	0.1319628201
162	0.1312643013
163	0.1304855739
164	0.1300351604
165	0.1292561646
166	0.1286248761
167	0.1280499241
168	0.1273332492
169	0.1267488103
170	0.126221386
171	0.1256093803
172	0.1250724806
173	0.1247328868
174	0.1240147238
175	0.1233527738
176	0.1224962759
177	0.1217110965
178	0.1211510088
179	0.120528029
180	0.1198936905
181	0.1194340355
182	0.1187072727
183	0.1180751979
184	0.1173447032
185	0.1167687255
186	0.1162248742
187	0.1157120993
188	0.1151526179
189	0.1146328261
190	0.1139294388
191	0.1134386489
192	0.112915389
193	0.1122027634
194	0.1115132384
195	0.111101695
196	0.1105319938
197	0.1098703676
198	0.109470111
199	0.1090724756
200	0.1084798843
201	0.1080301263
202	0.1073556537
203	0.1069183438
204	0.1063651706
205	0.1056057796
206	0.1049791225
207	0.1043316884
208	0.1038951462
209	0.1033116215
210	0.1030062964
211	0.102538003
212	0.1019631058
213	0.1017890681
214	0.1012440384
215	0.1006928976
216	0.1000622121
217	0.09967724047
218	0.0992970426
219	0.09893842212
220	0.09834838501
221	0.09810410218
222	0.09751241499
223	0.09703330129
224	0.09664927921
225	0.09628301698
226	0.09571046189
227	0.09539987436
228	0.09498031605
229	0.09448730993
230	0.09416797546
231	0.09363939242
232	0.09334616583
233	0.09302314494
234	0.09266326674
235	0.09235319125
236	0.09181984433
237	0.09148281657
238	0.09110187337
239	0.09080147049
240	0.09031072379
241	0.0898943363
242	0.08944310087
243	0.08906357212
244	0.08877433634
245	0.08838809685
246	0.08795529056
247	0.0875827235
248	0.08704910754
249	0.08673641414
250	0.08630696677
251	0.08600790878
252	0.08579577055
253	0.08548985079
254	0.08498786016
255	0.08454437
256	0.08416812101
257	0.08386813116
258	0.08346112316
259	0.08328397241
260	0.08314281975
261	0.08269914006
262	0.08242177981
263	0.0820757187
264	0.08175249468
265	0.0813635599
266	0.08084189058
267	0.08058648323
268	0.08035553307
269	0.0800212456
270	0.07974611419
271	0.07939574897
272	0.07913495469
273	0.07894147711
274	0.07858806533
275	0.07839208285
276	0.0779865177
277	0.07754086767
278	0.07739280202
279	0.07720569553
280	0.07677132307
281	0.07650293039
282	0.07633345905
283	0.07616002682
284	0.07582175545
285	0.07547456414
286	0.07516634352
287	0.07481034634
288	0.07457745391
289	0.0742150074
290	0.07392560733
291	0.07376219349
292	0.07335856117
